x,y,lon,lat
447.156099,654.672129,113,36
559.2611178,653.4278069,114,36
670.5106822,653.7072922,115,36
783.1369382,655.115573,116,36
895.6675591,657.7878849,117,36
898.981876,519.3985939,117,35
785.1517547,516.8690278,116,35
671.3186985,515.662293,115,35
557.7545595,514.69216,114,35
445.5213187,515.6466378,113,35
332.0826692,517.991789,112,35
217.7379141,521.4966536,111,35
104.1557612,525.2517202,110,35
98.08884518,385.2784579,110,34
213.6157832,381.1138543,111,34
328.5084927,378.9215836,112,34
443.6675388,376.5876973,113,34
557.1190154,376.0460257,114,34
672.1926476,376.3804535,115,34
787.367734,378.1568356,116,34
902.590385,380.7213269,117,34
906.3720242,241.5255067,117,33
789.5864711,239.218279,116,33
673.160815,238.1590911,115,33
556.497513,237.4964845,114,33
442.1319104,237.9242733,113,33
325.5320363,238.7867632,112,33
209.0213965,241.3920737,111,33
92.33418572,245.6302545,110,33
86.04525935,105.9062695,110,32
204.5875909,102.1629536,111,32
322.3761501,99.55366392,112,32
440.3243795,98.99284374,113,32
555.6571375,98.50674977,114,32
673.7547907,99.52372673,115,32
791.5340392,100.7687027,116,32
